dataset,method,seed,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_scale,QCAD,2021,0.989634,0.782038,0.890000,0.292,2026-01-31T02:31:17.755358
syn_scale,ROCOD,2021,0.999376,0.991765,1.000000,0.154,2026-01-31T02:31:17.911527
syn_scale,PNKDIF,2021,0.999085,0.984773,1.000000,1.900,2026-01-31T02:31:19.813356
syn_scale,PNKDIF_uniform,2021,0.999044,0.984075,1.000000,1.690,2026-01-31T02:31:21.506180
syn_scale,PNKDIF_noMLP,2021,0.999022,0.984527,1.000000,0.415,2026-01-31T02:31:21.923965
syn_multimodal,IF,42,0.518938,0.053604,0.070000,0.263,2026-01-31T02:31:22.191122
syn_multimodal,IF_concat,42,0.984178,0.709188,0.770000,0.285,2026-01-31T02:31:22.478202
syn_multimodal,DIF,42,0.504138,0.051476,0.060000,1.749,2026-01-31T02:31:24.229943
syn_multimodal,DIF_concat,42,0.972073,0.497198,0.420000,1.655,2026-01-31T02:31:25.887896
syn_multimodal,LOF,42,0.548538,0.092926,0.310000,0.082,2026-01-31T02:31:25.972831
syn_multimodal,QCAD,42,0.520969,0.156013,0.230000,0.781,2026-01-31T02:31:26.756074
syn_multimodal,ROCOD,42,0.743101,0.366866,0.950000,0.528,2026-01-31T02:31:27.285893
syn_multimodal,PNKDIF,42,0.847592,0.488112,0.910000,2.239,2026-01-31T02:31:29.527536
syn_multimodal,PNKDIF_uniform,42,0.869959,0.497708,0.910000,2.336,2026-01-31T02:31:31.866362
syn_multimodal,PNKDIF_noMLP,42,0.843527,0.487663,0.910000,0.842,2026-01-31T02:31:32.710585
syn_multimodal,IF,123,0.517735,0.052762,0.070000,0.228,2026-01-31T02:31:32.943027
syn_multimodal,IF_concat,123,0.979416,0.677196,0.720000,0.267,2026-01-31T02:31:33.211858
syn_multimodal,DIF,123,0.515585,0.053132,0.070000,1.562,2026-01-31T02:31:34.776242
syn_multimodal,DIF_concat,123,0.969150,0.536571,0.610000,1.618,2026-01-31T02:31:36.397104
syn_multimodal,LOF,123,0.538300,0.078374,0.180000,0.058,2026-01-31T02:31:36.457193
syn_multimodal,QCAD,123,0.557042,0.210260,0.520000,0.513,2026-01-31T02:31:36.972425
syn_multimodal,ROCOD,123,0.720668,0.080041,0.000000,0.610,2026-01-31T02:31:37.584585
syn_multimodal,PNKDIF,123,0.857913,0.505281,0.930000,2.342,2026-01-31T02:31:39.928160
syn_multimodal,PNKDIF_uniform,123,0.864079,0.508370,0.930000,2.249,2026-01-31T02:31:42.179762
syn_multimodal,PNKDIF_noMLP,123,0.825251,0.492706,0.930000,0.846,2026-01-31T02:31:43.028580
syn_multimodal,IF,456,0.501462,0.050291,0.050000,0.226,2026-01-31T02:31:43.257643
syn_multimodal,IF_concat,456,0.976896,0.696558,0.840000,0.273,2026-01-31T02:31:43.532700
syn_multimodal,DIF,456,0.508865,0.051294,0.050000,1.659,2026-01-31T02:31:45.193775
syn_multimodal,DIF_concat,456,0.967323,0.528681,0.570000,1.659,2026-01-31T02:31:46.855531
syn_multimodal,LOF,456,0.569133,0.085072,0.140000,0.086,2026-01-31T02:31:46.943897
syn_multimodal,QCAD,456,0.507229,0.264809,0.590000,0.621,2026-01-31T02:31:47.567343
syn_multimodal,ROCOD,456,0.549626,0.452997,0.950000,0.598,2026-01-31T02:31:48.167374
syn_multimodal,PNKDIF,456,0.865717,0.502730,0.950000,2.032,2026-01-31T02:31:50.201550
syn_multimodal,PNKDIF_uniform,456,0.862864,0.498983,0.950000,1.505,2026-01-31T02:31:51.708138
syn_multimodal,PNKDIF_noMLP,456,0.835979,0.489676,0.950000,0.576,2026-01-31T02:31:52.286599
syn_multimodal,IF,789,0.496081,0.048432,0.030000,0.186,2026-01-31T02:31:52.476072
syn_multimodal,IF_concat,789,0.976788,0.642718,0.780000,0.187,2026-01-31T02:31:52.664659
syn_multimodal,DIF,789,0.484424,0.047421,0.030000,1.200,2026-01-31T02:31:53.867616
syn_multimodal,DIF_concat,789,0.968285,0.478206,0.420000,1.169,2026-01-31T02:31:55.038294
syn_multimodal,LOF,789,0.571572,0.090623,0.240000,0.057,2026-01-31T02:31:55.097337
syn_multimodal,QCAD,789,0.515271,0.158891,0.280000,0.488,2026-01-31T02:31:55.587468
syn_multimodal,ROCOD,789,0.637790,0.471745,0.960000,0.394,2026-01-31T02:31:55.983806
syn_multimodal,PNKDIF,789,0.866833,0.513484,0.950000,1.584,2026-01-31T02:31:57.569444
syn_multimodal,PNKDIF_uniform,789,0.855382,0.500381,0.940000,1.515,2026-01-31T02:31:59.086218
syn_multimodal,PNKDIF_noMLP,789,0.831147,0.494397,0.940000,0.583,2026-01-31T02:31:59.670883
syn_multimodal,IF,1011,0.499986,0.048473,0.010000,0.180,2026-01-31T02:31:59.853433
syn_multimodal,IF_concat,1011,0.978865,0.642156,0.750000,0.183,2026-01-31T02:32:00.037916
syn_multimodal,DIF,1011,0.496374,0.047975,0.020000,1.172,2026-01-31T02:32:01.211460
syn_multimodal,DIF_concat,1011,0.969948,0.513245,0.500000,1.132,2026-01-31T02:32:02.345001
syn_multimodal,LOF,1011,0.579574,0.090215,0.240000,0.058,2026-01-31T02:32:02.404191
syn_multimodal,QCAD,1011,0.520602,0.179655,0.260000,0.471,2026-01-31T02:32:02.876694
syn_multimodal,ROCOD,1011,0.751969,0.380994,0.890000,0.390,2026-01-31T02:32:03.267837
syn_multimodal,PNKDIF,1011,0.854453,0.483472,0.900000,1.529,2026-01-31T02:32:04.798107
syn_multimodal,PNKDIF_uniform,1011,0.860297,0.486860,0.900000,1.482,2026-01-31T02:32:06.281760
syn_multimodal,PNKDIF_noMLP,1011,0.831195,0.474113,0.890000,0.580,2026-01-31T02:32:06.863925
syn_multimodal,IF,1213,0.481526,0.051883,0.100000,0.184,2026-01-31T02:32:07.050369
syn_multimodal,IF_concat,1213,0.980352,0.664127,0.770000,0.181,2026-01-31T02:32:07.233265
syn_multimodal,DIF,1213,0.481392,0.051880,0.100000,1.177,2026-01-31T02:32:08.412171
syn_multimodal,DIF_concat,1213,0.972092,0.544532,0.590000,1.124,2026-01-31T02:32:09.537616
syn_multimodal,LOF,1213,0.571166,0.081725,0.170000,0.054,2026-01-31T02:32:09.593834
syn_multimodal,QCAD,1213,0.498087,0.178904,0.260000,0.471,2026-01-31T02:32:10.066741
syn_multimodal,ROCOD,1213,0.539095,0.460788,0.930000,0.393,2026-01-31T02:32:10.461305
syn_multimodal,PNKDIF,1213,0.878756,0.519570,0.930000,1.521,2026-01-31T02:32:11.984490
syn_multimodal,PNKDIF_uniform,1213,0.877309,0.512091,0.910000,1.478,2026-01-31T02:32:13.464363
syn_multimodal,PNKDIF_noMLP,1213,0.828912,0.492418,0.930000,0.576,2026-01-31T02:32:14.042900
syn_multimodal,IF,1415,0.487804,0.047627,0.040000,0.185,2026-01-31T02:32:14.230187
syn_multimodal,IF_concat,1415,0.979489,0.671015,0.700000,0.184,2026-01-31T02:32:14.416193
syn_multimodal,DIF,1415,0.492685,0.048005,0.030000,1.169,2026-01-31T02:32:15.587177
syn_multimodal,DIF_concat,1415,0.967952,0.512689,0.570000,1.113,2026-01-31T02:32:16.701803
syn_multimodal,LOF,1415,0.544345,0.066035,0.140000,0.056,2026-01-31T02:32:16.760151
syn_multimodal,QCAD,1415,0.571439,0.233760,0.550000,0.470,2026-01-31T02:32:17.231548
syn_multimodal,ROCOD,1415,0.726323,0.081137,0.030000,0.389,2026-01-31T02:32:17.622097
syn_multimodal,PNKDIF,1415,0.876286,0.494436,0.880000,1.519,2026-01-31T02:32:19.142779
syn_multimodal,PNKDIF_uniform,1415,0.872697,0.497829,0.880000,1.497,2026-01-31T02:32:20.642004
syn_multimodal,PNKDIF_noMLP,1415,0.845289,0.478488,0.880000,0.590,2026-01-31T02:32:21.233824
syn_multimodal,IF,1617,0.489295,0.048449,0.040000,0.186,2026-01-31T02:32:21.422957
syn_multimodal,IF_concat,1617,0.984482,0.749181,0.900000,0.184,2026-01-31T02:32:21.608989
syn_multimodal,DIF,1617,0.495775,0.049032,0.050000,1.193,2026-01-31T02:32:22.804157
